time[ISO-UTC],xPos[m],yPos[m],Latitude[deg],Longitude[deg],speed[km/h],hr[bpm],numSatFix[-],hdop[-]
20200203T133457000,-166.662099,-12.670319,47.030002,8.287672,0.984600,NaN,NaN,NaN
20200203T133457100,-166.882559,-12.859318,47.030000,8.287669,1.923480,NaN,NaN,NaN
20200203T133457200,-167.087815,-12.992728,47.029999,8.287666,2.724480,NaN,NaN,NaN
20200203T133457300,-167.308274,-13.148374,47.029998,8.287663,3.713040,NaN,NaN,NaN
20200203T133457400,-167.483124,-13.348493,47.029996,8.287661,4.644360,NaN,NaN,NaN
20200203T133457500,-167.642769,-13.537494,47.029994,8.287659,5.453280,NaN,NaN,NaN
20200203T133457600,-167.832822,-13.726494,47.029993,8.287656,6.355800,NaN,NaN,NaN
20200203T133457700,-168.030477,-13.915494,47.029991,8.287654,7.341840,NaN,NaN,NaN
20200203T133457800,-168.212928,-14.115613,47.029989,8.287651,8.273880,NaN,NaN,NaN
20200203T133457900,-168.402980,-14.293495,47.029988,8.287649,9.145440,NaN,NaN,NaN
20200203T133458000,-168.585432,-14.493614,47.029986,8.287646,9.148320,NaN,NaN,NaN
20200203T133458100,-168.722272,-14.693734,47.029984,8.287644,9.137880,NaN,NaN,NaN
20200203T133458200,-168.851508,-14.849382,47.029983,8.287643,9.060480,NaN,NaN,NaN
20200203T133458300,-168.980746,-15.038384,47.029981,8.287641,8.919720,NaN,NaN,NaN
20200203T133458400,-169.147994,-15.249621,47.029979,8.287639,8.937000,NaN,NaN,NaN
20200203T133458500,-169.322842,-15.383031,47.029978,8.287637,8.943840,NaN,NaN,NaN
20200203T133458600,-169.474885,-15.572033,47.029976,8.287635,8.829360,NaN,NaN,NaN
20200203T133458700,-169.672540,-15.772151,47.029974,8.287632,8.847000,NaN,NaN,NaN
20200203T133458800,-169.847390,-15.983388,47.029972,8.287630,8.915040,NaN,NaN,NaN
20200203T133458900,-169.969027,-16.194626,47.029971,8.287628,8.884440,NaN,NaN,NaN
20200203T133459000,-170.128672,-16.394745,47.029969,8.287626,8.840160,NaN,NaN,NaN
20200203T133459100,-170.265512,-16.594865,47.029967,8.287624,8.847720,NaN,NaN,NaN
20200203T133459200,-170.463167,-16.783865,47.029965,8.287622,9.048960,NaN,NaN,NaN
20200203T133459300,-170.622812,-16.950630,47.029964,8.287619,9.062640,NaN,NaN,NaN
20200203T133459400,-170.782458,-17.150749,47.029962,8.287617,9.097200,NaN,NaN,NaN
20200203T133459500,-170.926901,-17.384222,47.029960,8.287615,9.237240,NaN,NaN,NaN
20200203T133459600,-171.048538,-17.617696,47.029958,8.287614,9.352080,NaN,NaN,NaN
20200203T133459700,-171.215786,-17.828933,47.029956,8.287612,9.303120,NaN,NaN,NaN
20200203T133459800,-171.367830,-18.051288,47.029954,8.287610,9.305640,NaN,NaN,NaN
20200203T133459900,-171.573088,-18.273642,47.029952,8.287607,9.429840,NaN,NaN,NaN
20200203T133500000,-171.702327,-18.495998,47.029950,8.287605,9.406080,NaN,NaN,NaN
20200203T133500100,-171.877177,-18.718353,47.029948,8.287603,9.526680,NaN,NaN,NaN
20200203T133500200,-172.014019,-18.985180,47.029945,8.287601,9.596160,NaN,NaN,NaN
20200203T133500300,-172.128054,-19.196418,47.029944,8.287600,9.605520,NaN,NaN,NaN
20200203T133500400,-172.234487,-19.407657,47.029942,8.287598,9.584280,NaN,NaN,NaN
20200203T133500500,-172.401735,-19.607776,47.029940,8.287596,9.549360,NaN,NaN,NaN
20200203T133500600,-172.553778,-19.785659,47.029938,8.287594,9.497520,NaN,NaN,NaN
20200203T133500700,-172.690618,-19.974661,47.029936,8.287592,9.430560,NaN,NaN,NaN
20200203T133500800,-172.857866,-20.174780,47.029935,8.287590,9.367920,NaN,NaN,NaN
20200203T133500900,-172.964298,-20.386018,47.029933,8.287589,9.239040,NaN,NaN,NaN
20200203T133501000,-173.078333,-20.575020,47.029931,8.287587,9.068760,NaN,NaN,NaN
20200203T133501100,-173.199968,-20.741787,47.029930,8.287586,8.878680,NaN,NaN,NaN
20200203T133501200,-173.359613,-20.897434,47.029928,8.287583,8.708040,NaN,NaN,NaN
20200203T133501300,-173.504053,-21.030845,47.029927,8.287581,8.509320,NaN,NaN,NaN
20200203T133501400,-173.610483,-21.164258,47.029926,8.287580,8.215200,NaN,NaN,NaN
20200203T133501500,-173.800537,-21.353258,47.029924,8.287578,8.153280,NaN,NaN,NaN
