xField[m],yField[m]
110.000000,0.000000
110.000000,72.000000
0.000000,72.000000
0.000000,0.000000
time[ISO-UTC],xPos[m],yPos[m],Latitude[deg],Longitude[deg],speed[km/h],hr[bpm],numSatFix[-],hdop[-]
20200201T192848000,54.627250,5.250261,47.032873,8.304760,0.079560,NaN,NaN,NaN
20200201T192848100,54.668280,5.289109,47.032873,8.304761,0.149760,NaN,NaN,NaN
20200201T192848200,54.717505,5.310999,47.032872,8.304761,0.245160,NaN,NaN,NaN
20200201T192848300,54.755794,5.334893,47.032872,8.304761,0.327960,NaN,NaN,NaN
20200201T192848400,54.796824,5.373742,47.032872,8.304762,0.388440,NaN,NaN,NaN
20200201T192848500,54.835113,5.397636,47.032871,8.304762,0.442080,NaN,NaN,NaN
20200201T192848600,54.874773,5.429007,47.032871,8.304763,0.471240,NaN,NaN,NaN
20200201T192848700,54.899385,5.439952,47.032871,8.304763,0.497520,NaN,NaN,NaN
20200201T192848800,54.923998,5.450897,47.032871,8.304763,0.525600,NaN,NaN,NaN
20200201T192848900,54.966398,5.497223,47.032870,8.304764,0.559800,NaN,NaN,NaN
20200201T192849000,55.007428,5.536071,47.032870,8.304765,0.508320,NaN,NaN,NaN
20200201T192849100,55.068959,5.563433,47.032870,8.304765,0.482400,NaN,NaN,NaN
20200201T192849200,55.118184,5.585323,47.032869,8.304766,0.423000,NaN,NaN,NaN
20200201T192849300,55.148278,5.626176,47.032869,8.304766,0.390960,NaN,NaN,NaN
20200201T192849400,55.201615,5.670497,47.032869,8.304767,0.379440,NaN,NaN,NaN
20200201T192849500,55.250840,5.692387,47.032868,8.304767,0.357120,NaN,NaN,NaN
20200201T192849600,55.305546,5.744184,47.032868,8.304768,0.385200,NaN,NaN,NaN
20200201T192849700,55.358883,5.788505,47.032867,8.304769,0.409320,NaN,NaN,NaN
20200201T192849800,55.421784,5.823344,47.032867,8.304769,0.423720,NaN,NaN,NaN
20200201T192849900,55.453249,5.871674,47.032867,8.304770,0.415800,NaN,NaN,NaN
20200201T192850000,55.499761,5.940430,47.032866,8.304771,0.463680,NaN,NaN,NaN
20200201T192850100,55.603692,6.014117,47.032866,8.304772,0.555480,NaN,NaN,NaN
20200201T192850200,55.692605,6.129199,47.032865,8.304774,0.726840,NaN,NaN,NaN
