time[ISO-UTC],xPos[m],yPos[m],Latitude[deg],Longitude[deg],speed[km/h],hr[bpm],numSatFix[-],hdop[-]
20200203T133457000,-170.987630,-11.135922,47.030016,8.287615,0.792000,NaN,NaN,NaN
20200203T133457100,-171.132070,-11.269334,47.030015,8.287613,1.619280,NaN,NaN,NaN
20200203T133457200,-171.246103,-11.436101,47.030013,8.287611,2.417400,NaN,NaN,NaN
20200203T133457300,-171.367739,-11.613985,47.030012,8.287610,3.170160,NaN,NaN,NaN
20200203T133457400,-171.512180,-11.780751,47.030010,8.287608,3.957120,NaN,NaN,NaN
20200203T133457500,-171.641417,-11.958635,47.030009,8.287606,4.793040,NaN,NaN,NaN
20200203T133457600,-171.801061,-12.103164,47.030007,8.287604,5.576400,NaN,NaN,NaN
20200203T133457700,-171.960705,-12.236575,47.030006,8.287602,6.324480,NaN,NaN,NaN
20200203T133457800,-172.120350,-12.403340,47.030005,8.287600,7.150320,NaN,NaN,NaN
20200203T133457900,-172.226780,-12.525635,47.030003,8.287598,7.944840,NaN,NaN,NaN
20200203T133458000,-172.325611,-12.725756,47.030002,8.287597,7.896240,NaN,NaN,NaN
20200203T133458100,-172.447245,-12.870286,47.030000,8.287595,7.774920,NaN,NaN,NaN
20200203T133458200,-172.576483,-13.070406,47.029999,8.287594,7.839000,NaN,NaN,NaN
20200203T133458300,-172.690517,-13.226055,47.029997,8.287592,7.914600,NaN,NaN,NaN
20200203T133458400,-172.888171,-13.392819,47.029996,8.287590,7.878600,NaN,NaN,NaN
20200203T133458500,-172.979398,-13.537350,47.029994,8.287588,7.833600,NaN,NaN,NaN
20200203T133458600,-173.093431,-13.704117,47.029993,8.287587,7.888680,NaN,NaN,NaN
20200203T133458700,-173.177058,-13.893120,47.029991,8.287586,7.877160,NaN,NaN,NaN
20200203T133458800,-173.245479,-14.048770,47.029990,8.287585,7.708680,NaN,NaN,NaN
20200203T133458900,-173.336706,-14.171065,47.029989,8.287584,7.642080,NaN,NaN,NaN
20200203T133459000,-173.443137,-14.315596,47.029987,8.287582,7.620840,NaN,NaN,NaN
20200203T133459100,-173.564771,-14.437890,47.029986,8.287581,7.568640,NaN,NaN,NaN
20200203T133459200,-173.694009,-14.626892,47.029985,8.287579,7.471800,NaN,NaN,NaN
