"","Sensor","last_name","first_name","date","type","position","feature_distance","feature_d_speed_0_5","feature_d_speed_5_10","feature_d_speed_10_15","feature_d_speed_15_21","feature_d_speed_21_24","feature_d_speed_24_30","feature_d_speed_over30","feature_hid_d_15","feature_hid_d_21","feature_acc_3mss","feature_dec_3mss","feature_acc_3.5mss","feature_dec_3.5mss","feature_acc_4mss","feature_dec_4mss","feature_sprint_over24","feature_avg_speed","feature_max_speed","feature_max_acc"
"1","4","KNEZEVIC","STEFAN",2020-02-01 18:00:06,"game","center back",10.88,2.33,3.91,3.18,1.22,0.16,0.08,0,1.43,0.24,73,112,32,54,14,27,7,6.64,28.14,4.65
"2","5","ALVES","LUCAS",2020-02-01 18:00:06,"game","center back",10.52,2.39,3.76,2.89,1.14,0.17,0.17,0,1.47,0.34,76,113,34,52,11,23,11,6.4,29.62,4.73
"3","9","MARGIOTTA","F",2020-02-01 18:00:06,"game","ran center",7.46,1.5,2.3,1.97,1.25,0.33,0.11,0,1.67,0.44,61,69,25,38,7,20,12,7.04,27.76,4.74
"4","10","ELEKE","BLESSING",2020-02-01 18:00:06,"game","center forward",3.75,0.85,1.33,0.91,0.39,0.14,0.12,0,0.65,0.26,38,34,15,26,4,10,11,6.43,28.96,4.82
"5","11","SCHURPF","PASCA",2020-02-01 18:00:06,"game","left forward",11.38,2.16,3.75,3.23,1.57,0.32,0.29,0.04,2.2,0.65,92,124,44,62,18,33,16,7.17,31.56,5.17
"6","12","SIDLER","SYLVAN",2020-02-01 18:00:06,"game","left back",11.72,2.31,3.86,3.79,1.35,0.23,0.16,0.01,1.73,0.4,72,111,25,70,11,36,12,6.94,31.44,5.23
"7","13","NDENGE","TSIY",2020-02-01 18:00:06,"game","center midfield",11.53,2.4,3.29,3.82,1.82,0.17,0.04,0,1.99,0.2,80,92,43,43,12,19,5,7,25.61,4.65
"8","14","VOCA","IDRIZ",2020-02-01 18:00:06,"game","center midfield",12.4,2.21,3.54,3.93,2.33,0.24,0.15,0,2.69,0.39,96,133,38,72,18,29,11,7.56,27.23,4.91
"9","17","GRETHER","SIMON",2020-02-01 18:00:06,"game","right back",10.97,2.4,3.78,3.31,1.25,0.16,0.07,0,1.45,0.23,84,91,36,45,8,25,5,6.61,27.7,5.26
"10","20","DEMHASAJ","MIMI",2020-02-01 18:00:06,"game","center forward",0.49,0.08,0.14,0.11,0.08,0.03,0.05,0,0.16,0.09,1,4,0,0,0,0,2,8.3,29.11,3.43
"11","21","MALES","DARIAN",2020-02-01 18:00:06,"game","center forward",9.15,1.53,2.99,2.67,1.58,0.21,0.16,0.01,1.94,0.38,84,73,51,56,20,25,12,7.42,31.14,5.18
"12","23","MISTVAFOVIC","DAVID",2020-02-01 18:00:06,"game","center back",2.93,0.49,0.9,0.79,0.66,0.05,0.03,0,0.74,0.08,22,23,8,12,2,4,2,7.31,28.64,4.08
"13","77","RYDER","MATOS",2020-02-01 18:00:06,"game","center forward",10.93,2.46,3.77,2.59,1.43,0.38,0.29,0.02,2.09,0.68,94,100,39,57,13,29,21,6.67,32.48,4.91
"14","2","KAKABADZE","OTAR",2019-08-01 16:00:01,"game","right back",3.9,0.75,1.22,1.08,0.63,0.15,0.07,0,0.84,0.22,62,32,37,16,8,9,7,7.13,26.19,4.63
"15","4","KNEZEVIC","STEFAN",2019-08-01 16:00:01,"game","center back",10.36,2.46,3.81,2.97,0.94,0.09,0.08,0,1.1,0.17,103,84,54,39,18,22,7,6.41,27.74,5.25
"16","5","ALVES","LUCAS",2019-08-01 16:00:01,"game","center back",9.61,2.53,3.7,2.42,0.79,0.09,0.07,0,0.94,0.16,97,92,43,50,19,24,6,5.9,29.54,4.85
"17","6","ARNOLD","REMO",2019-08-01 16:00:01,"game","center midfield",3.14,0.56,1.14,0.88,0.52,0.02,0.01,0,0.55,0.03,44,37,16,17,7,8,1,7.11,27.45,5.17
"18","9","MARGIOTTA","F",2019-08-01 16:00:01,"game","ran center",1.18,0.3,0.36,0.28,0.18,0.04,0.02,0,0.24,0.06,25,12,5,9,2,3,3,6.46,26.01,4.64
"19","10","ELEKE","BLESSING",2019-08-01 16:00:01,"game","center forward",10.32,2.49,4.27,2.02,1.08,0.27,0.18,0,1.51,0.44,118,84,60,42,23,19,12,6.38,28.63,5.23
"20","11","SCHURPF","PASCA",2019-08-01 16:00:01,"game","left forward",7.95,1.37,2.67,2.29,1.15,0.23,0.23,0,1.6,0.46,72,66,29,33,5,25,17,7.4,29.22,5.05
"21","13","NDENGE","TSIY",2019-08-01 16:00:01,"game","center midfield",10.85,2.27,3.89,3.34,1.18,0.1,0.07,0,1.33,0.17,64,74,37,32,19,18,5,6.71,28.13,5.24
"22","14","VOCA","IDRIZ",2019-08-01 16:00:01,"game","center midfield",11.2,2.29,3.95,3.64,1.22,0.1,0.01,0,1.31,0.1,60,88,21,30,14,14,1,6.91,24.99,5.56
"23","15","SCHULZ","MARVIN",2019-08-01 16:00:01,"game","center midfield",8.49,1.39,3.24,2.51,1.04,0.21,0.1,0,1.33,0.3,61,69,25,33,14,17,8,7.19,28.44,4.78
"24","17","GRETHER","SIMON",2019-08-01 16:00:01,"game","right back",10.24,2.54,3.66,2.42,1.28,0.24,0.11,0,1.6,0.34,94,96,56,53,20,31,9,6.33,28.18,4.85
"25","20","DEMHASAJ","MIMI",2019-08-01 16:00:01,"game","center forward",9.98,2,3.72,2.54,1.34,0.23,0.15,0,1.69,0.37,68,66,24,36,13,17,10,6.13,29.81,5.04
